Transaction_ID,Date,Brand_Name,Product_Category,Region,Sales_Channel,Units_Sold,Unit_Price,Revenue,Cost,Profit
TXN-9790,2/27/2024,Coca Cola,Beverage,Benin City,Retail Store,288,448,129024,2000,127024
TXN-4841,3/22/2024,Nestlee,Snack,Kano,Wholesaler,275,300,82500,2000,80500
TXN-535,5/19/2024,P&G,Snack,Lagos,Wholesaler,198,631,124938,1000,123938
TXN-3068,7/6/2024,Indommee,Beverage,Kano,Retail Store,163,388,63244,0,63244
TXN-3122,5/29/2024,Pepsico,Household,Ibadan,Wholesaler,167,524,87508,0,87508
TXN-3154,4/25/2024,P&G,Grocery,Benin City,Online,1000,846,846000,3000,843000
TXN-9322,1/2/2024,Unilvr,Beverage,Kano,Online,266,349,92834,737,92097
TXN-4846,7/15/2024,Pepsico,Toiletry,Enugu,Ecom,204,699,142596,0,142596
TXN-6638,1/12/2024,Indommee,Grocery,Kano,Wholesaler,2000,661,1322000,1206,1320794
TXN-6010,9/9/2024,Indommee,Beverage,Benin City,Online,1000,366,366000,7428,358572
TXN-5042,3/8/2024,Reckit,Personal Care,Enugu,Online,2000,978,1956000,3000,1953000
TXN-305,11/21/2024,Reckit,Dairy,Ibadan,Online,3000,309,927000,4055,922945
TXN-7565,3/19/2024,Pepsico,Beverage,Enugu,Distributor,0,362,0,2000,-2000
TXN-1375,1/20/2024,Pepsico,Grocery,Ibadan,Distributor,300,601,180300,3000,177300
TXN-54,9/22/2024,Nestlee,Toiletry,Enugu,Retail Store,255,681,173655,4907,168748
TXN-9912,4/9/2024,Nestlee,Household,Benin City,Retail Store,2000,649,1298000,2128,1295872
TXN-7485,11/24/2024,Indommee,Beverage,Port Harcourt,Distributor,1000,771,771000,0,771000
TXN-8715,1/1/2024,Coca Cola,Snack,Benin City,Retail Store,26,972,25272,3000,22272
TXN-5671,10/23/2024,Colgate,Toiletry,Lagos,Online,1000,592,592000,5456,586544
TXN-1527,3/3/2024,P&G,Household,Kano,Online,0,269,0,6147,-6147
TXN-1412,12/24/2024,Reckit,Beverage,Enugu,Retail Store,1000,743,743000,4106,738894
